year,climate_zone,continent,mean_intensity,record_freq,max_streak,pct_above_p90
1869,Polar,Ocean / Unclassified,0.8128,0.0,0,0.0037
1869,Temperate,Africa,0.5694,0.1259,1,0.2148
1869,Temperate,Antarctica,0.6439,0.0139,1,0.2222
1869,Temperate,Asia,0.3531,0.0351,2,0.1053
1869,Temperate,Australia-Oceania,0.5365,0.0098,1,0.0147
1869,Temperate,Europe,0.3381,0.023,1,0.0402
1869,Temperate,North America,0.4579,0.076,3,0.0895
1869,Temperate,Ocean / Unclassified,0.6462,0.0483,2,0.1213
1869,Temperate,South America,0.5373,0.0833,2,0.2
1869,Tropical,Africa,0.4563,0.0879,2,0.1273
1869,Tropical,Asia,0.5677,0.0305,2,0.0878
1869,Tropical,Australia-Oceania,0.5504,0.0577,1,0.1923
1869,Tropical,North America,0.6283,0.0,0,0.0
1869,Tropical,Ocean / Unclassified,0.6645,0.0413,2,0.0827
1869,Tropical,South America,0.3587,0.0833,1,0.0944
1870,Polar,Antarctica,0.8372,0.0648,2,0.2153
1870,Polar,Asia,0.5551,0.0259,1,0.0603
1870,Polar,Europe,0.538,0.0,0,0.0227
1870,Polar,North America,0.6448,0.0438,2,0.1188
1870,Polar,Ocean / Unclassified,0.812,0.0,0,0.0
1870,Temperate,Africa,0.5637,0.0704,1,0.1185
1870,Temperate,Antarctica,0.6452,0.0278,1,0.2257
1870,Temperate,Asia,0.3576,0.0544,2,0.1702
1870,Temperate,Australia-Oceania,0.5419,0.0588,1,0.1275
1870,Temperate,Europe,0.345,0.0805,1,0.069
1870,Temperate,North America,0.4546,0.049,2,0.1436
1870,Temperate,Ocean / Unclassified,0.6479,0.0843,2,0.2202
1870,Temperate,South America,0.5378,0.1222,1,0.1833
1870,Tropical,Africa,0.4519,0.0909,3,0.1152
1870,Tropical,Asia,0.564,0.0496,1,0.0725
1870,Tropical,Australia-Oceania,0.5394,0.0577,2,0.125
1870,Tropical,North America,0.62,0.0417,1,0.0104
1870,Tropical,Ocean / Unclassified,0.6771,0.0965,2,0.2283
1870,Tropical,South America,0.3581,0.0167,1,0.0444
1871,Polar,Antarctica,0.8333,0.0625,2,0.1586
1871,Polar,Asia,0.5566,0.0,0,0.0431
1871,Polar,Europe,0.5434,0.0455,1,0.0909
1871,Polar,North America,0.6455,0.0562,2,0.2562
1871,Polar,Ocean / Unclassified,0.808,0.0037,1,0.0187
1871,Temperate,Africa,0.5577,0.0185,1,0.0407
1871,Temperate,Antarctica,0.6447,0.059,2,0.1181
1871,Temperate,Asia,0.3568,0.0351,1,0.1053
1871,Temperate,Australia-Oceania,0.561,0.0882,1,0.1618
1871,Temperate,Europe,0.3392,0.0057,1,0.0517
1871,Temperate,North America,0.4535,0.0591,2,0.1351
1871,Temperate,Ocean / Unclassified,0.6459,0.0135,1,0.0831
1871,Temperate,South America,0.5205,0.0278,1,0.0833
1871,Tropical,Africa,0.4521,0.0364,2,0.0848
1871,Tropical,Asia,0.5909,0.1107,2,0.229
1871,Tropical,Australia-Oceania,0.553,0.0769,1,0.1971
1871,Tropical,North America,0.6444,0.0312,1,0.0208
1871,Tropical,Ocean / Unclassified,0.6595,0.0315,2,0.0866
1871,Tropical,South America,0.3619,0.05,1,0.0667
1872,Polar,Antarctica,0.8362,0.0197,1,0.1725
1872,Polar,Asia,0.5628,0.1207,1,0.1853
1872,Polar,Europe,0.5487,0.1591,2,0.2727
1872,Polar,North America,0.6445,0.0438,1,0.1156
1872,Polar,Ocean / Unclassified,0.8231,0.0261,2,0.1418
1872,Temperate,Africa,0.5642,0.0333,1,0.0815
1872,Temperate,Antarctica,0.6433,0.0278,1,0.0868
1872,Temperate,Asia,0.3541,0.0263,1,0.1281
1872,Temperate,Australia-Oceania,0.5538,0.0343,2,0.098
1872,Temperate,Europe,0.3406,0.023,1,0.046
1872,Temperate,North America,0.4563,0.0591,2,0.1149
1872,Temperate,Ocean / Unclassified,0.6468,0.0551,2,0.109
1872,Temperate,South America,0.5316,0.0278,1,0.05
1872,Tropical,Africa,0.4524,0.0273,1,0.0424
1872,Tropical,Asia,0.5826,0.0611,2,0.0954
1872,Tropical,Australia-Oceania,0.5539,0.0096,1,0.0865
1872,Tropical,North America,0.6529,0.1354,2,0.1979
1872,Tropical,Ocean / Unclassified,0.6669,0.0807,1,0.1378
1872,Tropical,South America,0.3636,0.0556,2,0.1
1873,Polar,Antarctica,0.8312,0.022,1,0.0938
1873,Polar,Asia,0.5617,0.0129,2,0.0388
1873,Polar,Europe,0.5536,0.0455,1,0.0455
1873,Polar,North America,0.6462,0.0469,1,0.1875
1873,Polar,Ocean / Unclassified,0.8208,0.0,0,0.0933
1873,Temperate,Africa,0.5728,0.0815,1,0.1704
1873,Temperate,Antarctica,0.643,0.0104,1,0.1042
1873,Temperate,Asia,0.3561,0.0298,1,0.1228
1873,Temperate,Australia-Oceania,0.5454,0.1078,1,0.1373
1873,Temperate,Europe,0.3449,0.0575,1,0.1034
1873,Temperate,North America,0.4571,0.0372,2,0.1149
1873,Temperate,Ocean / Unclassified,0.6485,0.0539,2,0.1618
1873,Temperate,South America,0.5338,0.0278,1,0.0889
1873,Tropical,Africa,0.4512,0.0788,2,0.0939
1873,Tropical,Asia,0.5622,0.0153,1,0.0573
1873,Tropical,Australia-Oceania,0.5406,0.0865,2,0.1971
1873,Tropical,North America,0.6333,0.0521,2,0.0208
1873,Tropical,Ocean / Unclassified,0.6709,0.0453,1,0.0827
1873,Tropical,South America,0.3546,0.05,1,0.0667
1874,Polar,Antarctica,0.8334,0.0301,1,0.1667
1874,Polar,Asia,0.565,0.0345,1,0.0948
1874,Polar,Europe,0.5559,0.1364,1,0.3409
